repo,pr_number,dependency,old_version,new_version,ecosystem,before_sha,after_sha,before_result,after_result,classification,failure_point,reproduced,confidence,reproduction_attempts,network_policy,log_paths,notes,created_at,title,created_at,source_dataset
lazycoderio/Security-Testing-Selenium-Jenkins,40,django,1.11.7,2.1,pip,7154ba91304fbed835b16f123f1c65100b2875e9,4c617a296f747a7c7aba7987ae235a3c897036af,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40\\lazycoderio__Security-Testing-Selenium-Jenkins__pr40__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:17:21,[Security] Bump django from 1.11.7 to 2.1,2018-08-30 10:12:14,partition1_xlsx
kwpav/recordcrate,42,django,1.11.7,2.1.1,pip,e8720afad56e672db5b2fade3654b0c050630dfe,4c9dcd9fe14d6df055f41dd4d0bb1a8dacee0373,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\kwpav__recordcrate__pr42\\kwpav__recordcrate__pr42__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\kwpav__recordcrate__pr42\\kwpav__recordcrate__pr42__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\kwpav__recordcrate__pr42\\kwpav__recordcrate__pr42__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\kwpav__recordcrate__pr42\\kwpav__recordcrate__pr42__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:17:26,[Security] Bump django from 1.11.7 to 2.1.1 in /api,2018-08-31 09:13:53,partition1_xlsx
dashorst/wicket,12,tomcat-catalina,8.5.19,9.0.11,maven,e557d4399415defd0dd589bf41ff5a7d91ce1b79,5a1c354e04174d4b1456d25977d6aea228ee75f1,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\dashorst__wicket__pr12\\dashorst__wicket__pr12__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\dashorst__wicket__pr12\\dashorst__wicket__pr12__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\dashorst__wicket__pr12\\dashorst__wicket__pr12__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\dashorst__wicket__pr12\\dashorst__wicket__pr12__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:17:44,[Security] Bump tomcat-catalina from 8.5.19 to 9.0.11,2018-08-29 21:20:28,partition1_xlsx
janlaan/DependencyCheck,85,spring-webmvc,2.5.5,5.1.4.RELEASE,maven,11cb713238ebdafa2f37e91564b371c8e805a3a5,76e01cf751fd9b5e16a4747dc7ba11b3f6368b40,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\janlaan__DependencyCheck__pr85\\janlaan__DependencyCheck__pr85__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\janlaan__DependencyCheck__pr85\\janlaan__DependencyCheck__pr85__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\janlaan__DependencyCheck__pr85\\janlaan__DependencyCheck__pr85__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\janlaan__DependencyCheck__pr85\\janlaan__DependencyCheck__pr85__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:17:54,[Security] Bump spring-webmvc from 2.5.5 to 5.1.4.RELEASE,2019-01-10 07:12:35,partition1_xlsx
mwarkentin/stats.shrinkray.io,12,flask,0.10.1,1.0.2,pip,e2ce12c0964b5e104154a7e0e59786f6dce0e028,842db65f21ae28d6bbca2850852db897f138f56f,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr12\\mwarkentin__stats.shrinkray.io__pr12__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr12\\mwarkentin__stats.shrinkray.io__pr12__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr12\\mwarkentin__stats.shrinkray.io__pr12__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\mwarkentin__stats.shrinkray.io__pr12\\mwarkentin__stats.shrinkray.io__pr12__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:18:04,[Security] Bump flask from 0.10.1 to 1.0.2,2018-08-24 14:42:44,partition1_xlsx
katiayn/pyconbalkan,1,django,1.11.11,2.1,pip,9749011db63078210f0bbfde0b42267749483bd9,1bd29aa023e9e1d8f88ba385b4a543abdcca1227,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr1\\katiayn__pyconbalkan__pr1__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr1\\katiayn__pyconbalkan__pr1__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr1\\katiayn__pyconbalkan__pr1__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr1\\katiayn__pyconbalkan__pr1__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:19:05,[Security] Bump django from 1.11.11 to 2.1,2018-08-06 08:01:08,partition1_xlsx
katiayn/pyconbalkan,12,django,1.11.11,2.1.2,pip,9749011db63078210f0bbfde0b42267749483bd9,006dbe8e66b37a067a7882a22126fce899a41e54,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr12\\katiayn__pyconbalkan__pr12__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr12\\katiayn__pyconbalkan__pr12__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr12\\katiayn__pyconbalkan__pr12__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr12\\katiayn__pyconbalkan__pr12__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:19:59,[Security] Bump django from 1.11.11 to 2.1.2,2018-10-08 04:48:09,partition1_xlsx
katiayn/pyconbalkan,20,django,1.11.11,2.1.5,pip,9749011db63078210f0bbfde0b42267749483bd9,a2609991bbe674372a488626706b0cab29ef431c,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr20\\katiayn__pyconbalkan__pr20__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr20\\katiayn__pyconbalkan__pr20__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr20\\katiayn__pyconbalkan__pr20__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\katiayn__pyconbalkan__pr20\\katiayn__pyconbalkan__pr20__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:00,[Security] Bump django from 1.11.11 to 2.1.5,2019-01-07 04:34:01,partition1_xlsx
adaptris/interlok-okhttp,3,log4j2Version,2.8.1,2.11.1,gradle,677556e2d1b46482956cf90e8a1c470cf24df175,682e772992470f9379212fe43c7f789ae6ce00db,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\adaptris__interlok-okhttp__pr3\\adaptris__interlok-okhttp__pr3__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-okhttp__pr3\\adaptris__interlok-okhttp__pr3__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-okhttp__pr3\\adaptris__interlok-okhttp__pr3__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-okhttp__pr3\\adaptris__interlok-okhttp__pr3__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:01,[Security] Bump log4j2Version from 2.8.1 to 2.11.1,2018-10-09 15:07:04,partition1_xlsx
adaptris/interlok-aws,11,log4j2Version,2.8.1,2.11.1,gradle,a8c90664f98b7e681b47b853c3bb6506927b0a43,8114ce800f763608ec6f5626b772e13d8b172fb3,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\adaptris__interlok-aws__pr11\\adaptris__interlok-aws__pr11__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-aws__pr11\\adaptris__interlok-aws__pr11__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-aws__pr11\\adaptris__interlok-aws__pr11__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\adaptris__interlok-aws__pr11\\adaptris__interlok-aws__pr11__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:03,[Security] Bump log4j2Version from 2.8.1 to 2.11.1,2018-10-09 14:42:37,partition1_xlsx
gae-init/gae-init-docs,356,webargs,4.1.2,5.1.3,pip,2d9fde1040d5fa06ee361bb9cc5aa5c10432e489,695160a8e1a4c1551d67ec383a4c58c49c84614d,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr356\\gae-init__gae-init-docs__pr356__AFTER__TEST__att1.stderr.txt""]",,2026-07-29 03:21:15,[Security] Bump webargs from 4.1.2 to 5.1.3,2019-03-11 17:54:26,partition1_xlsx
gae-init/gae-init-docs,358,webargs,4.1.2,5.2.0,pip,2d9fde1040d5fa06ee361bb9cc5aa5c10432e489,223a5f2fef8cff8c4d89a40d56c72fec1b8597f5,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\gae-init__gae-init-docs__pr358\\gae-init__gae-init-docs__pr358__AFTER__TEST__att1.stderr.txt""]",,2026-07-29 03:21:25,[Security] Bump webargs from 4.1.2 to 5.2.0,2019-03-16 19:44:14,partition1_xlsx
glovguy/flask-chat-bots,209,django,1.10.4,1.11.20,pip,2383e9d63fc53882589b8898d58ea9a0c9e6a80d,5341ddb59b4d9b8c074dcf0a2375fff8612d1abb,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr209\\glovguy__flask-chat-bots__pr209__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr209\\glovguy__flask-chat-bots__pr209__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr209\\glovguy__flask-chat-bots__pr209__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\glovguy__flask-chat-bots__pr209\\glovguy__flask-chat-bots__pr209__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:50,[Security] Bump django from 1.10.4 to 1.11.20,2019-05-01 10:12:13,partition1_xlsx
kirushik/critical_chain,75,rails,4.2.10,5.2.0,gem,12b2244bc9b26b59456d8e754e5e2e3cd57589b9,d5fe5f0b9ca7cab7690583023ce6ebf5a86fb63d,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\kirushik__critical_chain__pr75\\kirushik__critical_chain__pr75__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\kirushik__critical_chain__pr75\\kirushik__critical_chain__pr75__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\kirushik__critical_chain__pr75\\kirushik__critical_chain__pr75__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\kirushik__critical_chain__pr75\\kirushik__critical_chain__pr75__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:52,[Security] Bump rails from 4.2.10 to 5.2.0,2018-04-16 04:20:15,partition1_xlsx
michelin/suricate,14,org.hibernate:hibernate-search-orm,5.5.4.Final,5.9.0.Final,maven,ca8f55b2da03e65c0c6e870f438cdc3083519557,fadb7e90f512eec9bd25250af961f0f9a99e5ccb,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\michelin__suricate__pr14\\michelin__suricate__pr14__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\michelin__suricate__pr14\\michelin__suricate__pr14__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\michelin__suricate__pr14\\michelin__suricate__pr14__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\michelin__suricate__pr14\\michelin__suricate__pr14__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:56,Bump org.hibernate:hibernate-search-orm from 5.5.4.Final to 5.9.0.Final in /backend,2018-02-13 07:11:55,partition1_xlsx
ucsdlib/billing-ill,145,rails,4.2.7.1,5.1.4,gem,81102094e217787dcc28ce3e28c0ff428360e88a,502c09867a474414562614fcdcdd105c0a51140c,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\ucsdlib__billing-ill__pr145\\ucsdlib__billing-ill__pr145__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\ucsdlib__billing-ill__pr145\\ucsdlib__billing-ill__pr145__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\ucsdlib__billing-ill__pr145\\ucsdlib__billing-ill__pr145__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\ucsdlib__billing-ill__pr145\\ucsdlib__billing-ill__pr145__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:21:58,[security] chore(dependencies): Bump rails from 4.2.7.1 to 5.1.4,2018-01-04 07:23:47,partition1_xlsx
wearefuturegov/total_transport,28,jquery-ui-rails,5.0.5,6.0.1,gem,9d2afe88e5f49e4c5183d1a4bdb90a0466fc7ba6,bc8fa0af2caebe1204e8002cec6a13821107f044,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\wearefuturegov__total_transport__pr28\\wearefuturegov__total_transport__pr28__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\wearefuturegov__total_transport__pr28\\wearefuturegov__total_transport__pr28__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\wearefuturegov__total_transport__pr28\\wearefuturegov__total_transport__pr28__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\wearefuturegov__total_transport__pr28\\wearefuturegov__total_transport__pr28__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:22:01,[Security] Bump jquery-ui-rails from 5.0.5 to 6.0.1,2017-10-02 07:10:11,partition1_xlsx
AdonisOkpidi/WebGoat,7,scala-compiler,2.11.7,2.12.6,maven,3536fd0b6daf61042d4f2cd2f2b354a1c219c311,1c6f034eb1a5e103b886d44f6ccede2f739fff1e,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\AdonisOkpidi__WebGoat__pr7\\AdonisOkpidi__WebGoat__pr7__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\AdonisOkpidi__WebGoat__pr7\\AdonisOkpidi__WebGoat__pr7__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\AdonisOkpidi__WebGoat__pr7\\AdonisOkpidi__WebGoat__pr7__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\AdonisOkpidi__WebGoat__pr7\\AdonisOkpidi__WebGoat__pr7__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:22:09,[Security] Bump scala-compiler from 2.11.7 to 2.12.6,2018-09-03 19:32:42,partition1_xlsx
seanwiseman/django-easy-auth,14,django,2.0.1,2.1.1,pip,3d15a948da1c08ff9cec98d00f219d124a014cf4,d2530aadbd2e7621478d75e8c5d1b6c20b07ce11,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr14\\seanwiseman__django-easy-auth__pr14__AFTER__TEST__att1.stderr.txt""]",,2026-07-29 03:23:37,[Security] Bump django from 2.0.1 to 2.1.1,2018-09-03 06:43:32,partition1_xlsx
seanwiseman/django-easy-auth,18,django,2.0.1,2.1.5,pip,3d15a948da1c08ff9cec98d00f219d124a014cf4,74f802a2d86849d4ec37257c7f2adde67cce5e53,TEST,TEST,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__BEFORE__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__BEFORE__TEST__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__AFTER__TEST__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__AFTER__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\seanwiseman__django-easy-auth__pr18\\seanwiseman__django-easy-auth__pr18__AFTER__TEST__att1.stderr.txt""]",,2026-07-29 03:24:52,[Security] Bump django from 2.0.1 to 2.1.5,2019-01-07 07:01:38,partition1_xlsx
Squalex/life,32,django,2.0.1,2.1.1,pip,3235890146841f68b1005acb4cfd167567bda7b2,4273d5f1ae516ac153dacfb3a6ba119a1f6013f3,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Squalex__life__pr32\\Squalex__life__pr32__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr32\\Squalex__life__pr32__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr32\\Squalex__life__pr32__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr32\\Squalex__life__pr32__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:25:13,[Security] Bump django from 2.0.1 to 2.1.1,2018-09-03 06:34:37,partition1_xlsx
Squalex/life,47,django,2.0.1,2.1.5,pip,3235890146841f68b1005acb4cfd167567bda7b2,444d0965a0468108de800e74f9ed1316fec0fc81,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Squalex__life__pr47\\Squalex__life__pr47__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr47\\Squalex__life__pr47__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr47\\Squalex__life__pr47__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Squalex__life__pr47\\Squalex__life__pr47__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:25:31,[Security] Bump django from 2.0.1 to 2.1.5,2019-01-07 06:26:06,partition1_xlsx
Rotendahl/DormitoryLife,37,django,2.0.2,2.1.1,pip,3ccc72573fdf3763bb7ab2c50ab23d9cf2920296,6571688aec57473c3079255d47c5ce030ff1c98f,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr37\\Rotendahl__DormitoryLife__pr37__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr37\\Rotendahl__DormitoryLife__pr37__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr37\\Rotendahl__DormitoryLife__pr37__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr37\\Rotendahl__DormitoryLife__pr37__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:25:57,[Security] Bump django from 2.0.2 to 2.1.1,2018-09-03 04:14:57,partition1_xlsx
Rotendahl/DormitoryLife,36,django,2.0.2,2.1,pip,3ccc72573fdf3763bb7ab2c50ab23d9cf2920296,79e68d98b365eb11563ccf169f3ed4762bf04595,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr36\\Rotendahl__DormitoryLife__pr36__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr36\\Rotendahl__DormitoryLife__pr36__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr36\\Rotendahl__DormitoryLife__pr36__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\Rotendahl__DormitoryLife__pr36\\Rotendahl__DormitoryLife__pr36__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:26:13,[Security] Bump django from 2.0.2 to 2.1,2018-08-30 04:14:04,partition1_xlsx
risdenk/YCSB,63,jackson-databind,2.2.2,2.9.6,maven,a9ad5b6f27c5b8cd9af7b97dc14d5fd4c4c98280,01075efa2b6187900a0de34bf117ee1cb0d8319b,INSTALL,INSTALL,FAIL->FAIL,,0,medium,1,,"[""C:\\depbot-work\\execution_logs\\risdenk__YCSB__pr63\\risdenk__YCSB__pr63__BEFORE__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\risdenk__YCSB__pr63\\risdenk__YCSB__pr63__BEFORE__INSTALL__att1.stderr.txt"", ""C:\\depbot-work\\execution_logs\\risdenk__YCSB__pr63\\risdenk__YCSB__pr63__AFTER__INSTALL__att1.stdout.txt"", ""C:\\depbot-work\\execution_logs\\risdenk__YCSB__pr63\\risdenk__YCSB__pr63__AFTER__INSTALL__att1.stderr.txt""]",,2026-07-29 03:26:18,[Security] Bump jackson-databind from 2.2.2 to 2.9.6,2018-09-01 20:06:54,partition1_xlsx
